ID #	Class	Incidence	Occurence   :	Total	ID 1	ID 2	ID 3	ID 4	ID 5	ID 6	ID 7	ID 8	ID 9	ID 10	ID 11	ID 12
				Contact Time :
1	1	11				212	0	17	18	11	23	18	20	12	35	20	13	25
						60610	0	3229	5858	2583	5655	2640	6835	1999	15870	7208	3815	4918

2	1	11				262	15	0	85	13	11	35	33	11	12	23	10	14
						47784	2953	0	21471	1553	1529	7751	2800	3940	1794	1587	1421	985

3	1	11				423	18	64	0	12	16	76	130	11	16	45	15	20
						112584	4907	29684	0	1664	1667	19530	39962	1421	2418	7968	2273	1090

4	1	11				167	10	11	9	0	13	13	12	47	17	12	12	11
						87111	2567	2148	1308	0	2738	1534	1418	66679	3748	2124	1079	1768

5	1	11				169	21	12	12	13	0	12	14	12	23	16	20	14
						48456	6802	2258	2479	2229	0	3056	1912	2988	17600	2239	4893	2000

6	1	11				304	18	42	75	11	13	0	76	10	17	16	10	16
						58772	750	5573	10690	1788	1305	0	27892	2454	2401	1462	1764	2693

7	1	11				1012	21	32	113	14	17	88	0	11	17	584	10	105
						273978	6229	1350	22775	607	1560	17509	0	3184	2868	186796	3634	27466

8	1	11				194	10	15	11	68	15	12	11	0	20	10	10	12
						81004	3026	2314	2006	59512	1670	1524	1887	0	3471	2273	1317	2004

9	1	11				259	38	19	16	22	22	22	24	18	0	25	34	19
						65555	15652	2040	4454	4142	16071	2165	3757	4348	0	1194	8974	2758

10	1	11				763	23	18	32	10	20	12	549	13	14	0	38	34
						297783	5358	1553	4053	1863	2005	1325	210640	1651	1678	0	6070	61587

11	1	11				204	19	12	14	11	24	11	15	6	35	24	0	33
						43975	1906	1162	827	720	4311	1075	3786	1299	8546	12492	0	7851

12	1	12				260	24	15	14	13	13	11	86	10	17	24	32	1
						133007	4108	1316	1199	1668	2734	2963	40763	2830	1336	65320	8769	1

13	2	12				96	8	8	4	6	7	8	8	10	6	10	14	7
						30185	2479	3076	4398	2255	3077	2362	2229	1205	1288	2617	2501	2698

14	2	12				95	7	6	9	7	9	8	8	6	7	6	16	6
						26163	2371	2337	2859	2746	1880	1412	1877	2125	963	3340	1791	2462

15	2	12				115	9	8	10	8	7	8	9	11	7	9	19	10
						20878	2242	1068	1433	1534	968	1202	1627	845	1773	2150	5327	709

16	2	12				94	11	6	6	8	6	8	7	6	8	9	11	8
						27297	1672	2842	3548	2499	2958	2714	2463	1787	1173	2921	1186	1534

17	2	12				54	5	1	2	4	5	6	5	1	9	5	5	6
						4405	468	1	2	114	944	358	601	1	705	133	11	1067

18	2	12				660	49	9	10	1	22	6	421	1	91	31	9	10
						645315	11721	9	255	226	16022	13	44610	116	53357	428855	19809	70322

19	2	11				112	2	1	3	1	1	2	48	0	2	30	1	21
						48995	1088	1	17	1	1	2	7035	0	2	27373	1	13474

20	2	10				179	5	2	4	0	1	5	67	0	2	50	1	42
						214814	1335	2	4	0	1	135	79173	0	847	82853	1	50463

21	2	12				77	7	1	1	1	3	2	6	2	13	13	16	12
						494016	960	1	1	1	6459	2	2133	6	14034	14402	441877	14140

22	2	7				135	1	0	0	0	6	0	1	0	16	12	88	11
						152911	1	0	0	0	241	0	1760	0	266	4443	144923	1277

23	2	2				2	1	0	0	0	0	0	0	0	0	0	1	0
						2	1	0	0	0	0	0	0	0	0	0	1	0

24	2	3				14	4	0	0	8	0	0	0	2	0	0	0	0
						9771	472	0	0	3628	0	0	0	5671	0	0	0	0

25	2	1				75	75	0	0	0	0	0	0	0	0	0	0	0
						226716	226716	0	0	0	0	0	0	0	0	0	0	0

26	2	1				2	2	0	0	0	0	0	0	0	0	0	0	0
						2	2	0	0	0	0	0	0	0	0	0	0	0

27	2	6				17	1	1	0	0	0	1	0	1	4	0	9	0
						4755	1	1	0	0	0	1454	0	1	1722	0	1576	0

28	2	7				13	5	0	1	2	1	2	0	0	1	0	1	0
						509	501	0	1	2	1	2	0	0	1	0	1	0

29	2	10				17	1	2	1	3	0	1	2	2	2	2	1	0
						31	1	2	1	3	0	1	9	9	2	2	1	0

30	2	5				16	2	1	4	6	0	0	0	3	0	0	0	0
						3141	128	1	2164	591	0	0	0	257	0	0	0	0

31	2	1				2	2	0	0	0	0	0	0	0	0	0	0	0
						738	738	0	0	0	0	0	0	0	0	0	0	0

32	2	1				6	6	0	0	0	0	0	0	0	0	0	0	0
						6	6	0	0	0	0	0	0	0	0	0	0	0

33	2	4				10	4	2	1	0	0	0	0	0	3	0	0	0
						279	259	9	1	0	0	0	0	0	10	0	0	0

34	2	2				2	1	0	0	0	1	0	0	0	0	0	0	0
